Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,2000000,5511.07,custom_data,2356.98,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,100.0,2024-08-04T11_01_08
Zlib -1,1617957,47.02,custom_data,235.6,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,80.9,2024-08-04T11_01_08
Zlib -9,1595603,28.15,custom_data,244.9,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,79.78,2024-08-04T11_01_08
Zstd -1,1596439,965.24,custom_data,708.53,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,79.82,2024-08-04T11_01_08
Zstd -9,1595106,56.83,custom_data,655.59,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,79.76,2024-08-04T11_01_08
LZ4,2007845,12057.34,custom_data,4866.33,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,100.39,2024-08-04T11_01_08
LZO -1,2007847,10193.16,custom_data,4600.32,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,100.39,2024-08-04T11_01_08
LZO -9,2007847,10263.88,custom_data,1888.2,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,100.39,2024-08-04T11_01_08
Huffman,1596136,1061.01,custom_data,730.38,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,79.81,2024-08-04T11_01_08
Snappy,2000096,12807.79,custom_data,4856.75,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,100.0,2024-08-04T11_01_08
Brotli -1,1596543,367.96,custom_data,211.68,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,79.83,2024-08-04T11_01_08
Brotli -9,1578720,9.57,custom_data,210.68,colmajor/uint16/custom_data/delta_2.dat,-1,10,16,0,f,2000000,Delta,0,78.94,2024-08-04T11_01_08
Zlib -1,16768196,114.29,custom_data,449.86,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,44.11,2024-08-04T11_01_08
Zlib -9,16590120,19.76,custom_data,346.88,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,43.64,2024-08-04T11_01_08
Zstd -1,7279686,903.7,custom_data,1300.3,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,19.15,2024-08-04T11_01_08
Zstd -9,7015733,125.27,custom_data,1291.33,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,18.45,2024-08-04T11_01_08
LZ4,14810263,1290.67,custom_data,2507.4,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,38.96,2024-08-04T11_01_08
LZO -1,21887548,2465.24,custom_data,1783.0,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,57.57,2024-08-04T11_01_08
LZO -9,21887548,2484.56,custom_data,1796.05,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,57.57,2024-08-04T11_01_08
Huffman,23040599,1017.8,custom_data,772.52,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,60.6,2024-08-04T11_01_08
Snappy,22003327,2057.85,custom_data,2137.32,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,57.88,2024-08-04T11_01_08
Brotli -1,8291215,522.09,custom_data,436.97,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,21.81,2024-08-04T11_01_08
Brotli -9,6646968,20.24,custom_data,599.16,colmajor/uint16/custom_data/custom_data.dat,-1,10,16,0,f,38018000,Delta,0,17.48,2024-08-04T11_01_08
Zlib -1,2000000,53.09,custom_data,0.0,colmajor/uint16/custom_data/outliers_0.dat,-1,10,16,0,f,2000000,Delta,0,100.0,2024-08-04T11_01_08
Zlib -9,2000000,54.36,custom_data,0.0,colmajor/uint16/custom_data/outliers_0.dat,-1,10,16,0,f,2000000,Delta,0,100.0,2024-08-04T11_01_08
Zstd -1,2000058,2284.9,custom_data,4701.41,colmajor/uint16/custom_data/outliers_0.dat,-1,10,16,0,f,2000000,Delta,0,100.0,2024-08-04T11_01_08
