Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,4000000,6993.24,custom_data,5897.6,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,100.0,2024-08-04T10_53_17
Zlib -1,2456517,64.68,custom_data,230.95,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,61.41,2024-08-04T10_53_17
Zlib -9,2384624,5.1,custom_data,254.1,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,59.62,2024-08-04T10_53_17
Zstd -1,2580236,579.59,custom_data,896.28,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,64.51,2024-08-04T10_53_17
Zstd -9,2310720,27.34,custom_data,545.37,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,57.77,2024-08-04T10_53_17
LZ4,3743156,759.51,custom_data,2546.62,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,93.58,2024-08-04T10_53_17
LZO -1,3839897,1113.6,custom_data,1596.55,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,96.0,2024-08-04T10_53_17
LZO -9,3839897,1116.5,custom_data,1583.47,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,96.0,2024-08-04T10_53_17
Huffman,2591555,1048.59,custom_data,998.46,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,64.79,2024-08-04T10_53_17
Snappy,3846942,970.34,custom_data,2472.61,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,96.17,2024-08-04T10_53_17
Brotli -1,2530191,165.33,custom_data,218.22,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,63.25,2024-08-04T10_53_17
Brotli -9,2231726,7.03,custom_data,263.14,colmajor/float32/custom_data/delta_2.dat,-1,5,32,0,f,4000000,Delta,0,55.79,2024-08-04T10_53_17
Zlib -1,38615095,73.11,custom_data,359.79,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,50.79,2024-08-04T10_53_17
Zlib -9,38163784,15.55,custom_data,307.23,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,50.19,2024-08-04T10_53_17
Zstd -1,17160514,1107.35,custom_data,1521.29,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,22.57,2024-08-04T10_53_17
Zstd -9,15272241,161.04,custom_data,1379.86,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,20.09,2024-08-04T10_53_17
LZ4,45710693,1687.22,custom_data,2990.84,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,60.12,2024-08-04T10_53_17
LZO -1,47992385,2935.26,custom_data,1836.25,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,63.12,2024-08-04T10_53_17
LZO -9,47992385,2938.92,custom_data,1833.1,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,63.12,2024-08-04T10_53_17
Huffman,43630428,1013.55,custom_data,865.24,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,57.38,2024-08-04T10_53_17
Snappy,49140616,2799.95,custom_data,2844.34,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,64.63,2024-08-04T10_53_17
Brotli -1,20495372,561.58,custom_data,424.17,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,26.95,2024-08-04T10_53_17
Brotli -9,14690455,18.84,custom_data,502.69,colmajor/float32/custom_data/custom_data.dat,-1,5,32,0,f,76036000,Delta,0,19.32,2024-08-04T10_53_17
Zlib -1,3670496,36.88,custom_data,271.44,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,91.76,2024-08-04T10_53_17
Zlib -9,3656245,34.27,custom_data,276.63,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,91.41,2024-08-04T10_53_17
Zstd -1,3648933,927.11,custom_data,910.43,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,91.22,2024-08-04T10_53_17
Zstd -9,3649040,351.27,custom_data,906.62,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,91.23,2024-08-04T10_53_17
LZ4,4015688,12709.51,custom_data,7247.91,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,100.39,2024-08-04T10_53_17
LZO -1,4015691,11133.1,custom_data,7095.02,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,100.39,2024-08-04T10_53_17
LZO -9,4015691,11339.89,custom_data,7065.64,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,100.39,2024-08-04T10_53_17
Huffman,3648813,1021.4,custom_data,943.11,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,91.22,2024-08-04T10_53_17
Snappy,4000190,13341.52,custom_data,7345.54,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,100.0,2024-08-04T10_53_17
Brotli -1,3650730,367.66,custom_data,145.21,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,91.27,2024-08-04T10_53_17
Brotli -9,3651633,39.8,custom_data,145.86,colmajor/float32/custom_data/outliers_0.dat,-1,5,32,0,f,4000000,Delta,0,91.29,2024-08-04T10_53_17
Zlib -1,3677477,36.7,custom_data,271.15,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,91.94,2024-08-04T10_53_17
Zlib -9,3663929,34.26,custom_data,277.09,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,91.6,2024-08-04T10_53_17
Zstd -1,3657171,927.5,custom_data,902.36,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,91.43,2024-08-04T10_53_17
Zstd -9,3657267,356.1,custom_data,904.42,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,91.43,2024-08-04T10_53_17
LZ4,4015688,13028.08,custom_data,2963.82,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,100.39,2024-08-04T10_53_17
LZO -1,4015691,6348.69,custom_data,2874.14,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,100.39,2024-08-04T10_53_17
LZO -9,4015691,4594.4,custom_data,2869.76,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,100.39,2024-08-04T10_53_17
Huffman,3657084,1020.53,custom_data,939.78,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,91.43,2024-08-04T10_53_17
Snappy,4000190,13321.03,custom_data,7427.38,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,100.0,2024-08-04T10_53_17
Brotli -1,3658982,367.94,custom_data,144.04,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,91.47,2024-08-04T10_53_17
Brotli -9,3659852,38.87,custom_data,144.93,colmajor/float32/custom_data/outliers_1.dat,-1,5,32,0,f,4000000,Delta,0,91.5,2024-08-04T10_53_17
Zlib -1,18285,1387.49,custom_data,1631.59,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,0.46,2024-08-04T10_53_17
Zlib -9,4572,258.53,custom_data,469.82,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,0.11,2024-08-04T10_53_17
Zstd -1,1390,9909.99,custom_data,6524.46,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,0.03,2024-08-04T10_53_17
Zstd -9,1137,1612.99,custom_data,5213.36,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,0.03,2024-08-04T10_53_17
LZ4,16455,10524.16,custom_data,2281.75,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,0.41,2024-08-04T10_53_17
LZO -1,18605,4794.29,custom_data,766.19,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,0.47,2024-08-04T10_53_17
LZO -9,18605,8425.17,custom_data,830.01,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,0.47,2024-08-04T10_53_17
Huffman,370916,1378.47,custom_data,1659.66,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,9.27,2024-08-04T10_53_17
Snappy,188222,10816.72,custom_data,2207.71,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,4.71,2024-08-04T10_53_17
Brotli -1,2010,8017.43,custom_data,1057.21,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,0.05,2024-08-04T10_53_17
Brotli -9,841,109.77,custom_data,849.37,colmajor/float32/custom_data/repeats_50.dat,-1,5,32,0,f,4000000,Delta,0,0.02,2024-08-04T10_53_17
