Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,4000000,4592.0,custom_data,5445.11,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,100.0,2024-08-04T11_05_34
Zlib -1,2456517,65.04,custom_data,230.9,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,61.41,2024-08-04T11_05_34
Zlib -9,2384624,5.08,custom_data,254.23,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,59.62,2024-08-04T11_05_34
Zstd -1,2580236,580.63,custom_data,891.14,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,64.51,2024-08-04T11_05_34
Zstd -9,2310720,28.67,custom_data,542.97,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,57.77,2024-08-04T11_05_34
LZ4,3743156,763.68,custom_data,2599.47,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,93.58,2024-08-04T11_05_34
LZO -1,3839897,1117.07,custom_data,1575.02,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,96.0,2024-08-04T11_05_34
LZO -9,3839897,1116.5,custom_data,1591.85,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,96.0,2024-08-04T11_05_34
Huffman,2591555,1041.88,custom_data,1000.14,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,64.79,2024-08-04T11_05_34
Snappy,3846942,971.23,custom_data,2391.76,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,96.17,2024-08-04T11_05_34
Brotli -1,2530191,169.12,custom_data,219.63,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,63.25,2024-08-04T11_05_34
Brotli -9,2231726,6.85,custom_data,262.38,colmajor/float32/custom_data/delta_2.dat,-1,10,32,0,f,4000000,Delta,0,55.79,2024-08-04T11_05_34
Zlib -1,38615095,72.46,custom_data,360.0,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,50.79,2024-08-04T11_05_34
Zlib -9,38163784,15.59,custom_data,307.13,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,50.19,2024-08-04T11_05_34
Zstd -1,17160514,1109.8,custom_data,1510.09,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,22.57,2024-08-04T11_05_34
Zstd -9,15272241,161.43,custom_data,1368.75,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,20.09,2024-08-04T11_05_34
LZ4,45710693,1698.72,custom_data,2957.84,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,60.12,2024-08-04T11_05_34
LZO -1,47992385,2942.58,custom_data,1832.1,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,63.12,2024-08-04T11_05_34
LZO -9,47992385,2940.42,custom_data,1826.16,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,63.12,2024-08-04T11_05_34
Huffman,43630428,1016.91,custom_data,862.09,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,57.38,2024-08-04T11_05_34
Snappy,49140616,2860.0,custom_data,2828.78,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,64.63,2024-08-04T11_05_34
Brotli -1,20495372,563.37,custom_data,421.2,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,26.95,2024-08-04T11_05_34
Brotli -9,14690455,18.32,custom_data,503.27,colmajor/float32/custom_data/custom_data.dat,-1,10,32,0,f,76036000,Delta,0,19.32,2024-08-04T11_05_34
Zlib -1,3670496,36.57,custom_data,266.97,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,91.76,2024-08-04T11_05_34
Zlib -9,3656245,33.81,custom_data,276.59,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,91.41,2024-08-04T11_05_34
Zstd -1,3648933,928.02,custom_data,903.73,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,91.22,2024-08-04T11_05_34
Zstd -9,3649040,359.16,custom_data,899.37,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,91.23,2024-08-04T11_05_34
LZ4,4015688,12586.97,custom_data,2953.86,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,100.39,2024-08-04T11_05_34
LZO -1,4015691,11202.5,custom_data,6828.57,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,100.39,2024-08-04T11_05_34
LZO -9,4015691,11328.4,custom_data,2889.2,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,100.39,2024-08-04T11_05_34
Huffman,3648813,1026.74,custom_data,938.36,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,91.22,2024-08-04T11_05_34
Snappy,4000190,10676.77,custom_data,6473.18,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,100.0,2024-08-04T11_05_34
Brotli -1,3650730,367.94,custom_data,144.85,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,91.27,2024-08-04T11_05_34
Brotli -9,3651633,38.41,custom_data,145.66,colmajor/float32/custom_data/outliers_0.dat,-1,10,32,0,f,4000000,Delta,0,91.29,2024-08-04T11_05_34
Zlib -1,3677477,36.63,custom_data,271.23,colmajor/float32/custom_data/outliers_1.dat,-1,10,32,0,f,4000000,Delta,0,91.94,2024-08-04T11_05_34
Zlib -9,3663929,34.23,custom_data,276.72,colmajor/float32/custom_data/outliers_1.dat,-1,10,32,0,f,4000000,Delta,0,91.6,2024-08-04T11_05_34
Zstd -1,3657171,926.69,custom_data,904.4,colmajor/float32/custom_data/outliers_1.dat,-1,10,32,0,f,4000000,Delta,0,91.43,2024-08-04T11_05_34
Zstd -9,3657267,353.23,custom_data,906.87,colmajor/float32/custom_data/outliers_1.dat,-1,10,32,0,f,4000000,Delta,0,91.43,2024-08-04T11_05_34
LZ4,4015688,10292.22,custom_data,6450.91,colmajor/float32/custom_data/outliers_1.dat,-1,10,32,0,f,4000000,Delta,0,100.39,2024-08-04T11_05_34
LZO -1,4015691,11240.69,custom_data,6418.74,colmajor/float32/custom_data/outliers_1.dat,-1,10,32,0,f,4000000,Delta,0,100.39,2024-08-04T11_05_34
LZO -9,4015691,9768.94,custom_data,6407.51,colmajor/float32/custom_data/outliers_1.dat,-1,10,32,0,f,4000000,Delta,0,100.39,2024-08-04T11_05_34
Huffman,3657084,1028.57,custom_data,946.39,colmajor/float32/custom_data/outliers_1.dat,-1,10,32,0,f,4000000,Delta,0,91.43,2024-08-04T11_05_34
Snappy,4000190,10700.79,custom_data,6471.18,colmajor/float32/custom_data/outliers_1.dat,-1,10,32,0,f,4000000,Delta,0,100.0,2024-08-04T11_05_34
