Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,Dataset,Memlimit,MinIters,Nbits,Order,Preprocs,Nthreads,Query,Algorithm,__pyience_timestamp__
396.31,354.19,87440,24253,27.74,colmajor/uint8/msrc/Change-weapon_subj=17_idx=453.dat,msrc,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T20_23_03
546.94,605.45,87440,36306,41.52,colmajor/uint8/msrc/Change-weapon_subj=17_idx=453.dat,msrc,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T20_23_03
236.2,106.07,87440,23806,27.23,colmajor/uint8/msrc/Change-weapon_subj=17_idx=453.dat,msrc,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T20_23_03
4.73,355.33,87440,22144,25.32,colmajor/uint8/msrc/Change-weapon_subj=17_idx=453.dat,msrc,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T20_23_03
146.48,196.82,83040,22514,27.11,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T20_23_03
2.64,346.81,83040,18578,22.37,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T20_23_03
467.64,190.43,83040,19296,23.24,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T20_23_03
42.05,513.18,83040,18579,22.37,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T20_23_03
1061.78,506.81,83040,32142,38.71,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T20_23_03
770.52,227.78,83040,30339,36.54,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T20_23_03
403.05,227.53,83040,30339,36.54,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T20_23_03
389.27,365.38,83040,21015,25.31,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T20_23_03
771.8,842.83,83040,30281,36.47,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T20_23_03
333.66,110.66,83040,19773,23.81,colmajor/uint8/msrc/Had-enough_subj=1_idx=569.dat,msrc,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T20_23_03
