Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,4000000,6230.66,custom_data,3658.16,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,100.0,2024-08-03T08_34_03
Zlib -1,3497674,36.97,custom_data,254.87,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,87.44,2024-08-03T08_34_03
Zlib -9,3471582,29.6,custom_data,273.71,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,86.79,2024-08-03T08_34_03
Zstd -1,3537239,971.07,custom_data,778.36,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,88.43,2024-08-03T08_34_03
Zstd -9,3537553,140.51,custom_data,827.06,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,88.44,2024-08-03T08_34_03
LZ4,4015688,26368.7,custom_data,3439.39,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,100.39,2024-08-03T08_34_03
LZO -1,4015691,9761.81,custom_data,3411.42,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,100.39,2024-08-03T08_34_03
LZO -9,4015691,17512.37,custom_data,3485.39,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,100.39,2024-08-03T08_34_03
Huffman,3536830,1059.23,custom_data,946.24,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,88.42,2024-08-03T08_34_03
Snappy,4000190,25849.48,custom_data,3047.28,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,100.0,2024-08-03T08_34_03
Brotli -1,3538817,368.76,custom_data,150.53,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,None,0,88.47,2024-08-03T08_34_03
